id,claim,source,date,label,explanation,reference_links
67,"Physical therapy helps arthritis","Arthritis Foundation","2019-10-03",true,"Improves joint mobility","https://www.arthritis.org/health-wellness/treatment/treatment-plan/treatment-guide/physical-therapy"
68,"Antibiotics cure strep throat","Mayo Clinic","2020-09-23",true,"Eradicates streptococcal bacteria","https://www.mayoclinic.org/diseases-conditions/strep-throat/diagnosis-treatment/drc-20350344"
69,"Blood pressure monitoring prevents complications","American Heart Association","2021-03-25",true,"Early detection of hypertension","https://www.heart.org/en/health-topics/high-blood-pressure/understanding-blood-pressure-readings"
70,"Vaccines prevent tetanus","WHO","2019-09-12",true,"Tetanus toxoid provides immunity","https://www.who.int/news-room/fact-sheets/detail/tetanus"
71,"Insulin pumps improve diabetes management","American Diabetes Association","2020-08-14",true,"Provides precise insulin dosing","https://www.diabetes.org/healthy-living/devices-technology/insulin-pumps"
72,"Antidepressants treat anxiety disorders","NIH","2021-02-09",true,"Regulates brain chemistry","https://www.nimh.nih.gov/health/topics/anxiety-disorders/index.shtml"
73,"Physical activity prevents obesity","CDC","2019-06-20",true,"Burns calories and builds muscle","https://www.cdc.gov/healthyweight/physical_activity/index.html"
74,"Vaccines prevent rubella","WHO","2020-07-30",true,"MMR vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/rubella"
75,"Blood tests detect diabetes","American Diabetes Association","2021-04-08",true,"Measures glucose levels","https://www.diabetes.org/a1c/diagnosis"
76,"Antibiotics treat pneumonia","American Lung Association","2019-05-16",true,"Effective against bacterial pneumonia","https://www.lung.org/lung-health-diseases/lung-disease-lookup/pneumonia/treatment-and-recovery"
77,"Radiation treats prostate cancer","American Cancer Society","2020-03-12",true,"Targets prostate tissue","https://www.cancer.org/cancer/prostate-cancer/treating/radiation-therapy.html"
78,"Vaccines prevent diphtheria","CDC","2021-05-20",true,"DTaP vaccine provides immunity","https://www.cdc.gov/vaccines/vpd/diphtheria/index.html"
79,"Physical therapy aids recovery from surgery","APTA","2019-04-25",true,"Restores mobility and function","https://www.apta.org/patient-care/"
80,"Antihistamines treat allergies","American Academy of Allergy, Asthma & Immunology","2020-11-05",true,"Blocks histamine effects","https://www.aaaai.org/conditions-and-treatments/library/allergy-library/antihistamines"
81,"Blood donation saves lives","American Red Cross","2021-06-17",true,"Provides life-saving transfusions","https://www.redcrossblood.org/donate-blood/how-to-donate/common-concerns/first-time-donors.html"
82,"Vaccines prevent mumps","WHO","2019-08-14",true,"MMR vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/mumps"
83,"Physical activity reduces cancer risk","American Cancer Society","2020-01-29",true,"Lowers inflammation and hormone levels","https://www.cancer.org/latest-news/can-exercise-lower-cancer-risk.html"
84,"Antibiotics treat urinary tract infections","NIH","2021-03-04",true,"Effective against E. coli bacteria","https://www.niddk.nih.gov/health-information/urologic-diseases/bladder-infection-uti-in-adults/treatment"
85,"Radiation treats lymphoma","American Cancer Society","2019-07-05",true,"Targets cancerous lymphocytes","https://www.cancer.org/cancer/non-hodgkin-lymphoma/treating/radiation-therapy.html"
86,"Vaccines prevent polio","WHO","2020-10-21",true,"IPV vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/polio"
87,"Physical therapy helps back pain","APTA","2021-02-12",true,"Strengthens core muscles","https://www.apta.org/patient-care/"
88,"Antifungals treat yeast infections","Mayo Clinic","2019-09-27",true,"Effective against Candida","https://www.mayoclinic.org/diseases-conditions/yeast-infection/diagnosis-treatment/drc-20379004"
89,"Blood tests detect anemia","NIH","2020-05-28",true,"Measures hemoglobin levels","https://www.nhlbi.nih.gov/health-topics/iron-deficiency-anemia"
90,"Vaccines prevent hepatitis A","CDC","2021-04-01",true,"Provides long-term immunity","https://www.cdc.gov/vaccines/vpd/hepa/index.html"
91,"Physical activity improves sleep","Sleep Foundation","2019-12-19",true,"Promotes deeper sleep cycles","https://www.sleepfoundation.org/physical-activity-and-sleep"
92,"Antibiotics treat Lyme disease","CDC","2020-09-16",true,"Effective against Borrelia bacteria","https://www.cdc.gov/lyme/treatment/index.html"
93,"Radiation treats skin cancer","Skin Cancer Foundation","2021-01-07",true,"Targets basal and squamous cells","https://www.skincancer.org/treatment-resources/radiation-therapy/"
94,"Vaccines prevent chickenpox","WHO","2019-11-21",true,"Varicella vaccine provides immunity","https://www.who.int/news-room/fact-sheets/detail/varicella-(chickenpox)"
95,"Physical therapy helps Parkinson's disease","Parkinson's Foundation","2020-08-27",true,"Improves mobility and balance","https://www.parkinson.org/living-with-parkinsons/treatment/physical-therapy"
96,"Antivirals treat shingles","CDC","2021-03-18",true,"Reduces severity and duration","https://www.cdc.gov/shingles/about/treatment.html"
97,"Blood tests detect kidney disease","National Kidney Foundation","2019-10-10",true,"Measures creatinine levels","https://www.kidney.org/atoz/content/kidneytests"
98,"Vaccines prevent Hib disease","CDC","2020-07-02",true,"Prevents Haemophilus influenzae type b","https://www.cdc.gov/vaccines/vpd/hib/index.html"
99,"Physical activity strengthens bones","NIH","2021-05-13",true,"Weight-bearing exercise builds density","https://www.bones.nih.gov/health-info/bone/exercise/exercise-and-bone-health"
100,"Antibiotics are ineffective against viruses","Mayo Clinic","2019-08-12",true,"Antibiotics only work on bacterial infections","https://www.mayoclinic.org/healthy-lifestyle/consumer-health/in-depth/antibiotics/art-20045720"
101,"COVID-19 vaccines implant tracking microchips","Social media","2021-03-18",false,"Vaccines contain no electronic components","https://www.reuters.com/article/factcheck-vaccine-microchip/fact-check-covid-19-vaccines-do-not-contain-microchips-idUSL1N2LE1DX"
102,"Drinking bleach cures COVID-19","Online forum","2020-04-02",false,"Bleach is poisonous and damages internal organs","https://www.poison.org/articles/bleach"
103,"5G networks spread coronavirus","Conspiracy site","2020-02-28",false,"Viruses cannot travel via radio waves","https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters"
104,"Vaccines cause autism","Anti-vaccine website","2019-05-15",false,"No scientific link between vaccines and autism","https://www.cdc.gov/vaccinesafety/concerns/autism.html"
105,"Garlic prevents COVID-19 infection","Social media","2020-03-10",false,"No evidence garlic protects against viruses","https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters"
106,"Cancer is a fungus cured by baking soda","Alternative health blog","2021-05-15",false,"Cancer involves abnormal cell growth, not fungi","https://www.cancer.gov/about-cancer/treatment/cam/hp/prostate-cancer-pdq"
107,"HIV can spread through mosquito bites","Misinformation site","2019-07-22",false,"HIV cannot survive in mosquitoes","https://www.hiv.gov/hiv-basics/overview/about-hiv-and-aids/how-is-hiv-transmitted"
108,"Chemotherapy kills more patients than cancer","Social media","2021-01-05",false,"Chemotherapy saves lives when properly administered","https://www.cancer.gov/about-cancer/treatment/types/chemotherapy"
109,"Vaccines contain aborted fetal tissue","Conspiracy website","2020-08-15",false,"No vaccines contain fetal tissue","https://www.chop.edu/centers-programs/vaccine-education-center/vaccine-ingredients/fetal-tissues"
110,"COVID-19 was created in a lab","Conspiracy theory","2020-03-28",false,"Scientific consensus shows natural origin","https://www.nature.com/articles/s41591-020-0820-9"
111,"Ivermectin is a miracle cure for COVID-19","Social media","2021-07-30",false,"No conclusive evidence supports this claim","https://www.fda.gov/consumers/consumer-updates/why-you-should-not-use-ivermectin-treat-or-prevent-covid-19"
112,"The MMR vaccine causes SIDS","Anti-vaccine website","2019-04-01",false,"No link between MMR and SIDS","https://www.cdc.gov/vaccinesafety/concerns/sids.html"
113,"You can detox your body with juice cleanses","Wellness blog","2021-05-22",false,"The body has its own detoxification systems","https://www.health.harvard.edu/staying-healthy/the-dubious-practice-of-detox"
114,"GMOs cause irreversible genetic damage","Anti-GMO organization","2020-07-19",false,"GMOs are safe according to major health organizations","https://www.who.int/foodsafety/areas_work/food-technology/faq-genetically-modified-food/en/"
115,"Vaccine side effects are worse than the diseases","Misinformation site","2020-12-08",false,"Vaccine benefits far outweigh risks","https://www.who.int/vaccine_safety/initiative/detection/immunization_misconceptions/en/"
116,"Antioxidants prevent all cancers","Health magazine","2018-11-30",false,"While beneficial, they don't prevent all cancers","https://www.cancer.gov/about-cancer/causes-prevention/risk/diet/antioxidants-fact-sheet"
117,"COVID-19 is no worse than the flu","Misinformation","2020-09-14",false,"COVID-19 has higher mortality and complication rates","https://www.cdc.gov/flu/symptoms/flu-vs-covid19.htm"
118,"Vitamin C injections cure cancer","Alternative health blog","2021-02-14",false,"No scientific evidence supports this claim","https://www.cancer.gov/about-cancer/treatment/cam/hp/vitamin-c-pdq"
119,"Homeopathy is as effective as medicine","Alternative medicine site","2019-10-12",false,"No scientific basis for homeopathic treatments","https://www.nccih.nih.gov/health/homeopathy"
120,"The flu vaccine gives you the flu","Social media post","2019-10-12",false,"Flu vaccines cannot cause flu illness","https://www.cdc.gov/flu/prevent/misconceptions.htm"
121,"Cancer loves sugar","Misinformation","2020-06-18",false,"Sugar doesn't make cancer grow faster","https://www.cancer.gov/about-cancer/causes-prevention/risk/diet/artificial-sweeteners-fact-sheet"
122,"You can sweat out toxins","Wellness myth","2021-04-09",false,"Toxins are removed by liver and kidneys","https://www.health.harvard.edu/staying-healthy/the-truth-about-toxins"
123,"Vaccines cause sudden infant death syndrome","Anti-vaccine site","2020-05-05",false,"No evidence linking vaccines to SIDS","https://www.cdc.gov/vaccinesafety/concerns/sids.html"
124,"Essential oils can replace antibiotics","Alternative health","2019-12-20",false,"No evidence oils can treat bacterial infections","https://www.nccih.nih.gov/health/essential-oils"
125,"Wearing a mask causes oxygen deprivation","Social media","2020-07-08",false,"Masks don't significantly reduce oxygen intake","https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/coronavirus-face-masks-what-you-need-to-know"
126,"Alkaline water cures cancer","Alternative health","2021-03-05",false,"Body regulates pH independently of water intake","https://www.cancer.gov/about-cancer/treatment/cam/hp/prostate-cancer-pdq"
127,"COVID-19 tests cause brain damage","Conspiracy theory","2020-11-19",false,"Nasal swabs don't reach the brain","https://www.fda.gov/medical-devices/coronavirus-covid-19-and-medical-devices/faqs-testing-sars-cov-2"
128,"Vaccines cause infertility","Misinformation","2021-01-25",false,"No evidence vaccines affect fertility","https://www.cdc.gov/coronavirus/2019-ncov/vaccines/planning-for-pregnancy.html"
129,"Colloidal silver treats COVID-19","Alternative medicine","2020-09-03",false,"No evidence of effectiveness, can cause harm","https://www.fda.gov/consumers/consumer-updates/colloidal-silver-not-safe-or-effective"
130,"Chemotherapy doesn't work","Misinformation","2019-08-28",false,"Chemotherapy has saved millions of lives","https://www.cancer.gov/about-cancer/treatment/types/chemotherapy"
131,"The human body has unused DNA that vaccines activate","Pseudoscience","2020-12-14",false,"No such 'unused DNA' exists","https://www.genome.gov/about-genomics/fact-sheets/Deoxyribonucleic-Acid-Fact-Sheet"
132,"Microwaving food causes cancer","Myth","2021-02-22",false,"Microwaves don't make food radioactive","https://www.cancer.org/cancer/cancer-causes/radiation-exposure/radiofrequency-radiation.html"
133,"Vaccines contain mercury that causes brain damage","Misinformation","2019-11-15",false,"Thimerosal was removed from childhood vaccines","https://www.cdc.gov/vaccinesafety/concerns/thimerosal/index.html"
134,"COVID-19 vaccines alter your DNA","Social media","2021-04-30",false,"mRNA vaccines don't interact with DNA","https://www.cdc.gov/coronavirus/2019-ncov/vaccines/facts.html"
135,"The government puts tracking chips in vaccines","Conspiracy theory","2020-10-07",false,"Vaccines contain no tracking devices","https://www.reuters.com/article/factcheck-vaccine-microchip/fact-check-covid-19-vaccines-do-not-contain-microchips-idUSL1N2LE1DX"
136,"You only use 10% of your brain","Myth","2019-09-09",false,"Brain imaging shows full brain utilization","https://www.scientificamerican.com/article/do-people-only-use-10-percent-of-their-brains/"
137,"Vaccines cause Guillain-Barré syndrome","Misinformation","2020-08-26",false,"Extremely rare, benefits outweigh risks","https://www.cdc.gov/vaccinesafety/concerns/guillain-barre-syndrome.html"
138,"COVID-19 vaccines make you magnetic","Social media","2021-06-15",false,"Vaccines don't contain magnetic ingredients","https://www.factcheck.org/2021/06/scicheck-covid-19-vaccines-dont-make-people-magnetic/"
139,"The polio vaccine causes polio","Anti-vaccine myth","2019-07-17",false,"Inactivated polio vaccine cannot cause polio","https://www.cdc.gov/vaccines/vpd/polio/public/index.html"
140,"Antidepressants cause personality changes","Misinformation","2020-05-19",false,"They correct chemical imbalances","https://www.nimh.nih.gov/health/topics/depression/index.shtml"
141,"Vaccines cause multiple sclerosis","Anti-vaccine site","2021-03-29",false,"No link between vaccines and MS","https://www.nationalmssociety.org/What-is-MS/MS-FAQ-s#question-Vaccinations"
142,"COVID-19 vaccines cause infertility in women","Social media","2020-12-22",false,"No evidence of impact on fertility","https://www.acog.org/womens-health/faqs/covid-19-vaccines-and-pregnancy-conversation-guide-for-clinicians"
143,"The flu shot weakens your immune system","Myth","2019-10-28",false,"Actually strengthens immune response","https://www.cdc.gov/flu/prevent/misconceptions.htm"
144,"Vaccines contain antifreeze","Misinformation","2020-07-14",false,"No antifreeze ingredients in vaccines","https://www.chop.edu/centers-programs/vaccine-education-center/vaccine-ingredients"
145,"COVID-19 is caused by bacteria","Misinformation","2021-01-12",false,"Caused by SARS-CoV-2 virus","https://www.who.int/emergencies/diseases/novel-coronavirus-2019/question-and-answers-hub/q-a-detail/coronavirus-disease-covid-19"
146,"The measles vaccine causes measles","Anti-vaccine myth","2019-06-24",false,"Vaccine contains weakened virus that can't cause disease","https://www.cdc.gov/vaccines/vpd/mmr/public/index.html"
147,"Vaccines cause ADHD","Misinformation","2020-04-09",false,"No scientific link established","https://www.cdc.gov/vaccinesafety/concerns/adhd.html"
148,"COVID-19 vaccines contain fetal cells","Social media","2021-05-27",false,"No fetal cells in vaccines","https://www.factcheck.org/2021/03/scicheck-no-fetal-tissue-used-in-covid-19-vaccines/"
149,"The government uses vaccines for population control","Conspiracy theory","2020-09-21",false,"No evidence supporting this claim","https://www.who.int/news-room/questions-and-answers/item/vaccines-and-immunization-myths-and-misconceptions"
150,"Vitamin D prevents all COVID-19 infections","Misinformation","2021-02-08",false,"While important for immunity, doesn't prevent infection","https://www.nih.gov/news-events/news-releases/nih-expert-panel-issues-covid-19-treatment-guidelines"
151,"Vaccines cause diabetes","Anti-vaccine claim","2019-08-05",false,"No link between vaccines and diabetes","https://www.cdc.gov/vaccinesafety/concerns/diabetes.html"
152,"COVID-19 vaccines cause Bell's palsy","Social media","2020-11-12",false,"No increased risk established","https://www.fda.gov/media/144637/download"
153,"The HPV vaccine causes chronic fatigue syndrome","Misinformation","2021-04-23",false,"No scientific evidence supports this","https://www.cdc.gov/vaccinesafety/vaccines/hpv/hpv-safety-faqs.html"
154,"Vaccines cause autoimmune diseases","Anti-vaccine site","2019-05-08",false,"No evidence of causal relationship","https://www.cdc.gov/vaccinesafety/concerns/autoimmune.html"
155,"COVID-19 vaccines contain graphene oxide","Conspiracy theory","2021-07-08",false,"No such ingredient in vaccines","https://www.factcheck.org/2021/07/scicheck-no-graphene-oxide-in-covid-19-vaccines/"
156,"The tetanus vaccine causes SIDS","Anti-vaccine myth","2020-02-14",false,"No link between tetanus vaccine and SIDS","https://www.cdc.gov/vaccinesafety/concerns/sids.html"
157,"Vaccines cause narcolepsy","Misinformation","2019-12-11",false,"No link in US vaccines","https://www.cdc.gov/vaccinesafety/concerns/history/narcolepsy-flu.html"
158,"COVID-19 vaccines change your blood type","Social media","2021-03-04",false,"Vaccines don't affect blood type","https://www.factcheck.org/2021/03/scicheck-no-evidence-covid-19-vaccines-change-blood-type/"
159,"The hepatitis B vaccine causes multiple sclerosis","Anti-vaccine claim","2020-01-16",false,"No scientific evidence supports this","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6122664/"
160,"Vaccines cause seizures","Misinformation","2021-06-19",false,"Febrile seizures are rare and not dangerous","https://www.cdc.gov/vaccinesafety/concerns/febrile-seizures.html"
161,"COVID-19 vaccines cause prion disease","Conspiracy theory","2020-10-29",false,"No scientific basis for this claim","https://www.factcheck.org/2021/03/scicheck-no-evidence-covid-19-vaccines-cause-prion-disease/"
162,"The DTaP vaccine causes encephalitis","Anti-vaccine myth","2019-09-04",false,"No link between DTaP and encephalitis","https://www.cdc.gov/vaccinesafety/concerns/encephalitis.html"
163,"Vaccines cause asthma","Misinformation","2020-07-27",false,"No evidence vaccines cause asthma","https://www.cdc.gov/vaccinesafety/concerns/asthma.html"
164,"COVID-19 vaccines cause blood clots in everyone","Social media","2021-04-15",false,"Extremely rare, benefits outweigh risks","https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/JJUpdate.html"
165,"The rotavirus vaccine causes intussusception","Misinformation","2019-11-28",false,"Very rare and treatable if it occurs","https://www.cdc.gov/vaccinesafety/concerns/intussusception.html"
166,"Vaccines cause sudden death in adults","Anti-vaccine claim","2020-08-20",false,"No evidence supporting this claim","https://www.cdc.gov/vaccinesafety/concerns/sudden-death.html"
167,"COVID-19 vaccines contain luciferase","Conspiracy theory","2021-05-10",false,"No such ingredient in vaccines","https://www.factcheck.org/2021/05/scicheck-no-luciferase-in-covid-19-vaccines/"
168,"The MMR vaccine causes Crohn's disease","Anti-vaccine myth","2019-10-17",false,"No scientific link established","https://www.cdc.gov/vaccinesafety/concerns/crohns.html"
